year,race,driver,top_speed,avg_top_speed,fastest_lap_time,avg_lap_time
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,55,330.0,292.8301886792453,95.638,102.111529
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,27,334.0,295.0943396226415,95.873,102.005058
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,16,336.0,300.75471698113205,95.977,102.169823
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,8,333.0,290.65384615384613,95.695,102.49414
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,2,326.0,288.4230769230769,96.675,101.70051
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,9,332.0,294.71153846153845,96.494,103.11274
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,28,334.0,289.11538461538464,96.839,102.098346
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,35,339.0,298.9807692307692,98.3,102.90366
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,14,326.0,288.7647058823529,95.133,102.826354
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,18,321.0,290.1041666666667,98.319,102.419065
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,11,321.0,286.5,98.319,104.93812
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,31,,,,
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,10,,,,
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,33,301.0,285.7042253521127,67.442,69.239774
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,7,327.0,299.01408450704224,66.957,69.260957
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,5,319.0,299.4366197183099,67.082,69.284577
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,8,309.0,293.12857142857143,69.071,70.534942
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,20,316.0,296.24285714285713,68.476,70.5575
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,31,315.0,297.34285714285716,68.85,70.7135
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,11,318.0,295.4428571428571,68.504,70.7349
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,14,313.0,288.75714285714287,68.661,70.945185
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,16,324.0,297.6,69.006,71.0067
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,9,317.0,297.85714285714283,68.216,71.014471
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,10,324.0,293.3285714285714,69.295,71.104571
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,55,314.0,292.6,68.766,71.1763
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,35,314.0,291.69565217391306,68.971,71.768971
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,18,314.0,292.8840579710145,69.203,71.650579
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,2,307.0,282.67692307692306,68.894,72.752138
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,44,324.0,294.7096774193548,67.241,69.92987
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,28,311.0,294.68518518518516,69.171,71.728611
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,3,316.0,291.22641509433964,67.591,70.269132
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,77,301.0,294.0,69.044,69.786
2018,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,27,310.0,300.72727272727275,70.38,71.812181
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,5,333.0,296.84615384615387,90.696,97.849775
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,44,339.0,298.61538461538464,91.245,101.000923
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,7,346.0,307.7307692307692,90.795,101.027615
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,77,323.0,291.59615384615387,91.377,100.167862
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,3,334.0,300.9230769230769,91.589,101.140076
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,27,308.0,289.90384615384613,93.405,101.500076
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,31,321.0,293.6923076923077,93.606,101.532961
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,14,332.0,299.09615384615387,93.482,101.55575
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,20,324.0,297.21153846153845,93.604,101.595615
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,11,345.0,304.4807692307692,93.472,101.624846
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,2,326.0,289.8627450980392,93.551,101.645346
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,18,317.0,288.4230769230769,93.869,101.690192
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,10,332.0,293.9807692307692,93.465,101.613711
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,35,313.0,285.0769230769231,94.62,101.882634
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,33,313.0,290.8695652173913,92.007,102.623456
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,8,325.0,303.64864864864865,94.391,100.463783
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,55,322.0,293.5135135135135,94.602,100.469
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,9,323.0,308.3225806451613,93.675,96.574193
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,16,323.0,307.6111111111111,95.209,95.9375
2018,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,28,172.0,172.0,174.472,174.472
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,44,346.0,301.94029850746267,75.545,82.833507
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,77,337.0,300.05970149253733,75.721,82.901194
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,7,317.0,297.2089552238806,75.99,82.933985
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,33,330.0,294.76119402985074,75.852,82.947746
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,27,336.0,298.8805970149254,77.91,83.230656
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,8,332.0,303.92537313432837,76.716,83.264417
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,11,339.0,308.95522388059703,77.867,83.289567
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,31,340.0,305.82089552238807,77.941,83.307388
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,9,332.0,308.17910447761193,77.745,83.316522
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,28,336.0,308.65671641791045,77.681,83.34391
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,20,329.0,300.7164179104478,77.697,83.354686
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,55,343.0,307.8805970149254,77.43,83.327074
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,2,341.0,294.46268656716416,77.537,83.529283
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,10,334.0,308.469696969697,77.762,84.67409
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,16,337.0,306.3636363636364,77.852,84.701242
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,14,328.0,300.53846153846155,77.741,84.813784
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,18,336.0,305.0188679245283,78.861,84.084433
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,5,336.0,309.98039215686276,77.29,79.092
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,35,331.0,308.45098039215685,78.934,82.339215
2018,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,3,338.0,322.55555555555554,78.262,80.254037
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,44,312.0,290.734693877551,81.107,83.377528
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,5,319.0,294.625,80.056,83.622142
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,7,312.0,293.3157894736842,80.292,83.664685
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,3,313.0,291.66101694915255,80.012,84.040657
